contacto;periodo;categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domicilio_calle;domicilio_altura;domicilio_esquina_proxima;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto
00000114/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-01;16:47:45;12.0;COGHLAN;SUPERI;2885.0;;-34.5610064812329;-58.4724299521949;App BA 147;Masculino;Abierto;
00000265/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-01;22:34:51;14.0;PALERMO;JUNCAL;3611.0;;-34.58332791288861;-58.4135149358982;GCS Web;Masculino;Abierto;
00000382/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-02;01:56:30;12.0;SAAVEDRA;VIDAL;4300.0;;-34.54499590243;-58.4752873410591;GCS Web;Femenino;Abierto;
00000384/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-02;02:00:17;12.0;SAAVEDRA;VIDAL;4200.0;;-34.5458255049089;-58.47488792714309;GCS Web;Femenino;Abierto;
00000386/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-02;02:15:01;12.0;COGHLAN;UGARTE, MANUEL;3601.0;;-34.5626436651485;-58.47418834407461;GCS Web;Masculino;Abierto;
00000562/22;202201;SEGURIDAD;OTROS;Cuidacoches (Trapitos);Reporte;2022-01-02;17:06:51;1.0;SAN TELMO;BRASIL AV.;351.0;;-34.6252907833532;-58.3705600270244;App BA 147;Masculino;Abierto;
00000889/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-03;00:28:32;11.0;VILLA DEVOTO;CHIVILCOY AV.;3289.0;;-34.6038458252681;-58.5080302793795;App BA 147;Masculino;Abierto;
00001029/22;202201;SEGURIDAD;PROBLEMAS CON PERSONAL POLICIAL;Denuncia rechazada en Comisaría;Reporte;2022-01-03;09:31:39;7.0;PARQUE CHACABUCO;DIAZ, AVELINO;337.0;;-34.6349355668817;-58.4255390711672;GCS Web;Femenino;Abierto;
00001064/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-03;09:57:35;1.0;MONSERRAT;MEXICO;1491.0;;-34.6154877163426;-58.3872958811703;Operador FIXIT;Femenino;Abierto;
00001153/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-03;11:13:24;1.0;CONSTITUCION;BRASIL;1269.0;;-34.6280378763713;-58.3838875495611;Operador FIXIT;Femenino;Abierto;
00001216/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-03;11:51:42;1.0;CONSTITUCION;BRASIL;1209.0;;-34.6278679064427;-58.3830649052884;Operador FIXIT;Femenino;Abierto;
00001244/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-03;12:11:18;1.0;CONSTITUCION;COCHABAMBA;1200.0;;-34.6239430933829;-58.3828063498791;Operador FIXIT;Femenino;Abierto;
00001417/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-03;14:13:53;1.0;SAN NICOLAS;LAVALLE;1590.0;;-34.6030551137959;-58.38925846940471;Operador FIXIT;Femenino;Abierto;
00001541/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-03;15:33:11;1.0;SAN TELMO;DEFENSA;962.0;;-34.619152340822;-58.3715129126031;Operador FIXIT;Femenino;Abierto;
00001829/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-03;20:12:53;12.0;VILLA URQUIZA;NUÑEZ;4700.0;;-34.5612720479772;-58.4880119840932;App BA 147;Femenino;Abierto;
00001889/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-03;21:34:18;4.0;BARRACAS;SUAREZ;3380.0;;-34.6456959612621;-58.3965081134298;App BA 147;Femenino;Abierto;
00001958/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-03;23:35:20;7.0;FLORES;RIVADAVIA AV.;6379.0;;-34.6264320950043;-58.4563365607613;App BA 147;Masculino;Abierto;
00002091/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-04;01:12:00;1.0;SAN NICOLAS;LIBERTAD;745.0;;-34.5998474665091;-58.383937954869;App BA 147;Femenino;Abierto;
00002132/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-04;02:15:02;13.0;COLEGIALES;NEWBERY, JORGE;2415.0;;-34.5724110418279;-58.4411289294107;App BA 147;Masculino;Abierto;
00002229/22;202201;SEGURIDAD;OTROS;Mayor presencia policial;Reporte;2022-01-04;08:12:21;7.0;FLORES;PORTELA;1800.0;;-34.6494834559288;-58.45860880118671;App BA 147;Masculino;Abierto;
